algorithm,average bounded slowdown,renewable energy utilization
FCFS,91.00122139276489,0.6186178131052353
F2,55.66666703624958,0.591820153035898
LPTPN,341.0402135849015,0.6844895130945842
GA,-100.97549712077308,0.7505379019950893
PPO,54.31462246204522,0.6865940083778663
MARL,29.834319845115015,0.7623054548682286
